Parameter name,Datatype,Default,Description
bands,``integer``,"- ``2*neldo + nelup - neldo`` if no input
- with input value or above value

  + ``2*neldo + nelup - neldo`` if bands < nelup
  + ``nelocc`` if nelocc /= 0 and bands < nelocc
  + ``nelorbh`` if bands > nelorbh and contracted_on is .false.
  + ``nelorb_at`` if bands > nelorb_at and contracted_on is .true.",The number of lowest eigenvalues of Khon-Sham equations to be evaluated. By default ``bands = nelup + 7`` where ``nelup`` is the number of spin up electrons. This corresponds to assuming at most an 8-fold degenerancy in the last occupied shell.
mixingder,``real(8)``,"- if no input

  + ``0.05d0`` if typeopt is even
  + ``100.0d0`` if typeopt is odd

- with input or above value

  + ``abs(mixingder)`` if mixingder < 0","- Case 1 (``typeopt = 3``): Used to evaluate numerically the first and second derivatives.
- Case 2 (``typeopt = 4``): Used to be closer to the linear regime for the evaluation of the Jacobian (``mixingder`` << 1)."
epssr,``real(8)``,"- ``0`` if typeopt is even
- ``-1`` if typeopt is odd and no input",WIP
maxcg,``integer``,``40``,With ``typeopt = 3`` (conjugate gradient) each ``maxcg`` steps restart the conj. grad. procedure. If ``maxcg = 0`` no restarting is performed (discouraged since numerically unstable).
weightcorr,``real(8)``,``1.d0``,"Weight of the correlation energy, e.g. ``weightcorr`` :math:`= 0` no correlation, ``weightcorr`` :math:`= 1` standard LDA."
weightxc,``real(8)``,``1.d0``,Weight of the exchange energy. When ``weightxc`` :math:`= 0` no exchange and when :math:`weightcorr = 1` standard LDA is used.
maxold,``integer``,``3``,The number of previous iterations to be considered in the numerical evaluation of Jacobian with ``typeopt = 4``.
epsshell,``real(qp)``,"- ``0.005d0`` if no input
- ignore input or above value

  + ``0.0d0`` if optocc == 0",Spread of the Fermi distribution used when ``optocc = 1``. The unit is Ha.
weightvh,``real(8)``,``1.d0``,Weight of the hartree potential. Setting ``weightvh`` :math:`\neq 1` is used just for testing.
orthodiag,``logical``,``.false.``,``.false.`` the Kohn-Sham eigenvectors are not orthogonalized after each Hamiltonian diagonalization.
mincond,``integer``,``1``,Disregard the first ``mincond``-1 direction regardless of the condition number limited by ``epsover``. This is useful to have better cancellation errors as a function e.g. of pressure.
randspin,``real(8)``,"- if no input

  + ``0.d0`` if iopt == 0
  + ``-1.d0`` if iopt /= 0","Used for initializing magnetization. If ``randspin`` > 0, add random component to the orbitals. If ``randspin`` < 0 initialize with maximum possible spin given density and grid (see below). If zero no action."
nzs,``integer``,``1``,"Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
"
nys,``integer``,``1``,"Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
"
nxs,``integer``,``1``,"Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
"
jaccond,``real(8)``,``0.d0``,Minimum threshold for the condition matrix in the self-consistent approach ``typeopt = 4``.
h_field,``real(8)``,``0.d0``,If ``h\_field`` > (<) 0 put a magnetic field increasing (decreasing) the magnetization with the staggering given by the table sxyz defined for ``randspin``.
eps_mach,``real(8)``,- ``DLAMCH('E')`` (defined in `lapack`) if no input,WIP
nc,``integer``,``-1``,WIP
rmax,``real*8``,``0.d0``,WIP
write_den,``logical``,``.false.``,If ``.true.`` write the overlap matrix elements for effective Hamiltonian calculations to the disk.
contracted_on,``logical``,``.false.``,If ``.true.`` it acts on the contracted basis (considerably faster).
task,"``integer``
",``0``,WIP
deltaE,``real(8)``,``0.d0``,WIP
emin,``real(8)``,``0.d0``,WIP
emax,``real(8)``,``0.d0``,WIP
optimize_overs,"``logical``

","- if no input

  + ``.true.`` if double_overs is .false.

- ignore input or above value

  + ``.false.`` if double_overs is .true.",If ``.true.`` optimize the overlap matrices calculation if the phase for spin down electrons is equal or opposite to the phase for up spin electrons. Otherwise it is automatically set to ``.false.``.
shift_origin,``logical``,"- if no input

  + ``.true.`` if skip_equivalence is .true. or yes_tilted is .true.
  + ``.false.`` otherwise",WIP
try_translation,``logical``,``.true.``,WIP
zero_jas,``logical``,``.false.``,If ``.true.`` set the one-body Jastrow to zero at the end of the DFT calculation.
write_matrix,``logical``,``.false.``,WIP
fix_density,``logical``,"-``.false.`` if no input
- ignore input

  + ``.false.`` if decoupled_run is .false.
","If the flag ``decoupled_run`` is set to ``.true.`` (&parameters card) as well as the ``yes_kpoints`` flag (&kpoints card), the k-points are evolved independently but using the averaged electronic density."
newj_onebody,``real(8) :: newj_onebody(100)``,"``-1.d0``


",WIP
setj_onebody,``real(8) :: setj_onebody(100)``,``-1.d0``,WIP
h_charge,``real(8)``,``0.d0``,WIP
shiftx,``logical``,``.false.``,WIP
shifty,``logical``,``.false.``,WIP
shiftz,``logical``,``.false.``,WIP
l0_at,``real(8)``,``1.d0``,WIP
scale_z,``integer``,"- if no input

  + ``2`` if double_mesh is .true.
  + ``1`` if double_mesh is .false.",WIP
linear,``logical``,``.false.``,WIP
corr_hartree,``logical``,"- ``.true.``` if no input
- ignore input or above value

  +  ``.false.`` if do_hartree is .true. or double_mesh is .false.
",WIP
rion_from,``real(8) :: rion_from(3)``,automatic,WIP
minz_at,``real(8)``,``-1.d0``,WIP
vmax0_in,``real(8)``,``-100.d0``,WIP
nx_at,``integer``,automatic,WIP
ny_at,``integer``,automatic,WIP
nz_at,``integer``,automatic,WIP
from_ions,``logical``,``.true.``,WIP
scale_hartree,``real(8)``,"- if no input

  + ``1.d0`` if double_mesh is .true.
  + ``-1.d0`` if double_mesh is .false.",WIP
do_hartree,``logical``,"- ``.false.`` if no input
- ignore input

  + ``.false.`` if double_mesh is .false.
",WIP
nproc_fft,``integer``,``maxdiv``,WIP
tfcut(プログラムに存在しない),,,Used only with ``typeopt = 0/2/4``. It is used for preconditioning to improve convergence of small q charge fluctuations. Suggested value of ``tfcut`` :math:`= \frac{1}{{xi_{TF}}^2}`  where :math:`xi` is the Thomas-Fermi length expressed in a.u.
