Parameter name,Datatype,Default,Description
parr,``real*8``,"``0.0d0``
","Determines the accuracy in the calculationa of the inverse of the SR matrix. The smaller the value, the more accurate (and fast) is the optimization, but the stability of the method gets worse. It should be decreased systematically up to at least 0.001 for fairly accurate wavefunction optimizations."
parcute,``real*8``,``0.d0``,WIP
parcut,``real*8``,"``epsmach*100.d0``
",WIP
parcutmin,``real*8``,``0.d0``,"If ncg > 1 is used in the minimization only the gradients that have a signal/noise ratio larger than parcutmin. If ncg = 0, the standard linear method with all parameters included in the optimization is used."
parcutpar,``real*8``,"``0.d0``
","If npbra > 0, among the npbra selected, only the parameters with signal/noise ratio > parcutpar are optimized."
tion,``real*8``,"- if no input

    + ``tpar`` if signalnoise is .true.
    + ``-1.d0`` if signalnoise is .false.
","When dynamics is on (idyn > 0) it represents the time-step of the molecular dynamics. With idyn=5, has the scale of an energy and should be set small enough inversely proportional to the number of samples used to evaluate the covariance matrix."
tcell,``real*8``,"- if no input

  + ``tion`` if ncore < 0 and tion /= -1.d0 and typedyncell /= 0
  + ``0.d0``
",WIP
molopt,``integer``,"- ``0`` if no input

- ignore input

  + ``1`` if molopt /= 0 and (itestr == -5 or read_molecul is .true.)
","- description(DFT): Do not change this value, as DFT works with molecular orbitals only.
- description(QMC): If molopt = -1 optimization with fixed number of molecular orbitals is performed (nmolmax in the &molecul section should be defined in this case). If not specified, the standard optimization is employed."
epstion,``real*8``,``0.d0``,WIP
onebodysz,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.true.`` if twobodyoff is .true. and iessz is .true.","If .true., optimize only the one body part of the spin Jastrow factor."
twobodyoff,``logical``,``.false.``,WIP
iesdtwobodyoff,``logical``,``.false.``,WIP
iesdonebodyoff,``logical``,``.false.``,WIP
tolcg,``real*8``,``1d-6``,WIP
minjonetwobody,``real*8``,``0.05d0``,WIP
symiesup,``logical``,``.false.``,WIP
yescutjas,``logical``,``.true.``,WIP
yescutdet,``logical``,``.true.``,WIP
fixpar,``logical``,``.false.``,WIP
symmetrize_agp,``logical``,``.true.``,"If .true. (default), symmetrize the agp at each iteration step, as it can deteriorate due to numerical accuracy."
yesquantum,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.true.`` if idyn == 8 and nbead > 1",If yesquantum=.true. quantum effects are included. No kaverage is possible for the time being.
nbead,``integer``,"- if no input

  + ``min(nproc, 16)`` idyn /= 0 and yesquantum is .true.
  + ``-1`` otherwise
","When yesquantum is true, one has to specify the number of beads of the corresponding path integral. The larger this number, the more accurate the Trotter approximation is (error vanishing as 1/nbead^2)."
yeswrite10,``logical``,``.false.``,WIP
oldscaling,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.true.`` if idyn == 8
",WIP
srcomplex,``logical``,"- ``.true.`` if no input

- ignore input

  + ``.false.`` ipc == 1
",WIP
power,``real*8``,``1.d0``,WIP
signalnoise,``logical``,``.false.``,"If signalnoise=.true., one optimizes all the parameters (including atomic positions with ieskin ≠ 0) by following the direction of maximum signal to noise ratio. parr is also effective in this case to regularize the inversion."
gauge_fixing,``logical``,"- no initialize if no input

- ignore input

  + ``.false.`` if itest == 1 or itestr4 == -7
",WIP
beta_learning,``real(8)``,``0.d0``,WIP
noopt_onebody,``logical``,``.false.``,WIP
scalermax,``logical``,"- no initialize if no input

- ignore input

  + ``.false.`` if itest == 1 or itestr4 == -7",WIP
yeswritebead,``logical``,``.false.``,WIP
yesread10,``logical``,``.false.``,WIP
change_parr,``logical``,``.false.``,WIP
parr_max,``real*8``,``1d-1``,WIP
parr_min,``real*8``,`` 1d-4``,WIP
delay_changeparr,``integer``,``20``,WIP
maxiter_changeparr,``integer``,``-1``,WIP
k6gen,``logical``,automatic(.false.),WIP
max_ortho,``integer``,``-1``,WIP
prep,``integer``,automatic(-1 or others),WIP
change_tpar,``logical``,``.false.``,WIP
inc_tpar_frequency,``integer``,"- ``100`` if no input

- ignore input

  + ``50`` if use_stable_tpar is .true.",WIP
use_stable_tpar,``logical``,``.true.``,WIP
eps_umrigar,``real*8``,"- if parr < 0.d0

  + ``-parr/10.d0`` if no input

- if parr > 0.d0

  + ``0.d0`` if no input
  + ``0.d0`` if eps_umrigar /= 0.d0 (ignore input)",WIP
yes_adams,``logical``,``.false.``,WIP
divide_tpar,``real(8)``,``4.0d0``,WIP
multiply_tpar,``real(8)``,automatic,WIP
tpar_buffer_len,``integer``,``40``,WIP
tpar_max,``real(8)``,``1.d0``,WIP
cut_sigma,``real(8)``,``3.5d0``,WIP
n_sigmas_tpar,``real(8)``,``5.0d0``,WIP
len_tpar_stable_list,``integer``,``10``,WIP
yes_dgelscut,``logical``,``.true.``,WIP
